(1.0,510.0),
(1.0,950.0),
(1.0,1460.0),
(2.0,91.0),
(2.0,185.0),
(2.0,245.0),
(2.0,295.0),
(2.0,350.0),
(2.0,610.0),
(2.0,665.0),
(2.0,770.0),
(2.0,785.0),
(2.0,805.0),
(2.0,840.0),
(2.0,940.0),
(2.0,960.0),
(2.0,1000.0),
(2.0,1050.0),
(2.0,1120.0),
(2.0,1155.0),
(2.0,1205.0),
(2.0,1240.0),
(2.0,1280.0),
(2.0,1375.0),
(2.0,1405.0),
(2.0,1505.0),
(2.0,1580.0),
(2.0,1665.0),
(2.0,1680.0),
(2.0,1685.0),
(2.0,1725.0),
(2.0,1770.0),
(2.0,1845.0),
(2.0,1870.0),
(2.0,1895.0),
(2.0,1930.0),
(2.0,2120.0),
(2.0,2200.0),
(2.0,2290.0),
(2.0,2445.0),
(3.0,75.0),
(3.0,130.0),
(3.0,210.0),
(3.0,235.0),
(3.0,270.0),
(3.0,300.0),
(3.0,325.0),
(3.0,335.0),
(3.0,410.0),
(3.0,465.0),
(3.0,510.0),
(3.0,580.0),
(3.0,610.0),
(3.0,725.0),
(3.0,755.0),
(3.0,775.0),
(3.0,785.0),
(3.0,795.0),
(3.0,835.0),
(3.0,860.0),
(3.0,910.0),
(3.0,970.0),
(3.0,1080.0),
(3.0,1095.0),
(3.0,1110.0),
(3.0,1120.0),
(3.0,1250.0),
(3.0,1460.0),
(3.0,1495.0),
(3.0,1515.0),
(3.0,1620.0),
(3.0,1630.0),
(3.0,1765.0),
(3.0,2100.0),
(3.0,2610.0),
