Channels Energies Detected_Value
0 0.00 0.00
1 0.00 0.00
2 0.00 0.00
3 0.00 0.00
4 0.00 0.00
5 0.00 0.00
6 0.00 0.00
7 0.00 0.00
8 0.00 0.00
9 0.00 0.00
10 0.00 0.00
11 0.00 0.00
12 0.00 0.00
13 0.00 0.00
14 0.00 0.00
15 0.00 0.00
16 0.00 0.00
17 0.00 0.00
18 2.36 2395.00
19 5.55 4006.00
20 8.75 4856.00
21 11.95 4815.00
22 15.14 5615.00
23 18.34 5560.00
24 21.54 4708.00
25 24.74 4887.00
26 27.93 4884.00
27 31.13 5485.00
28 34.33 5560.00
29 37.52 4834.00
30 40.72 4735.00
31 43.92 4870.00
32 47.11 5413.00
33 50.31 5421.00
34 53.51 4813.00
35 56.70 4621.00
36 59.90 4817.00
37 63.10 5124.00
38 66.29 5212.00
39 69.49 4930.00
40 72.69 4687.00
41 75.89 4676.00
42 79.08 5066.00
43 82.28 5138.00
44 85.48 4722.00
45 88.67 4569.00
46 91.87 4796.00
47 95.07 4866.00
48 98.26 5037.00
49 101.46 4813.00
50 104.66 4723.00
51 107.85 4694.00
52 111.05 4879.00
53 114.25 4844.00
54 117.45 4794.00
55 120.64 4538.00
56 123.84 4769.00
57 127.04 4657.00
58 130.23 4841.00
59 133.43 4693.00
60 136.63 4775.00
61 139.82 4744.00
62 143.02 4786.00
63 146.22 4896.00
64 149.41 4819.00
65 152.61 4700.00
66 155.81 4756.00
67 159.01 4736.00
68 162.20 4801.00
69 165.40 4788.00
70 168.60 4690.00
71 171.79 4740.00
72 174.99 4651.00
73 178.19 4636.00
74 181.38 4781.00
75 184.58 4801.00
76 187.78 4698.00
77 190.97 4747.00
78 194.17 4643.00
79 197.37 4735.00
80 200.56 4727.00
81 203.76 4777.00
82 206.96 4805.00
83 210.16 4765.00
84 213.35 4665.00
85 216.55 4687.00
86 219.75 4811.00
87 222.94 4667.00
88 226.14 4896.00
89 229.34 4869.00
90 232.53 4613.00
91 235.73 4756.00
92 238.93 4733.00
93 242.12 4689.00
94 245.32 4895.00
95 248.52 4879.00
96 251.72 4832.00
97 254.91 4794.00
98 258.11 4843.00
99 261.31 4913.00
100 264.50 4890.00
101 267.70 4876.00
102 270.90 5032.00
103 274.09 4952.00
104 277.29 4881.00
105 280.49 4858.00
106 283.68 4911.00
107 286.88 4873.00
108 290.08 5087.00
109 293.27 4956.00
110 296.47 5097.00
111 299.67 4990.00
112 302.87 5039.00
113 306.06 5039.00
114 309.26 5088.00
115 312.46 4965.00
116 315.65 5208.00
117 318.85 5187.00
118 322.05 5254.00
119 325.24 5045.00
120 328.44 5173.00
121 331.64 5166.00
122 334.83 5267.00
123 338.03 5173.00
124 341.23 5154.00
125 344.43 5367.00
126 347.62 5272.00
127 350.82 5435.00
128 354.02 5315.00
129 357.21 5396.00
130 360.41 5469.00
131 363.61 5449.00
132 366.80 5436.00
133 370.00 5382.00
134 373.20 5454.00
135 376.39 5498.00
136 379.59 5594.00
137 382.79 5548.00
138 385.98 5623.00
139 389.18 5585.00
140 392.38 5575.00
141 395.58 5575.00
142 398.77 5884.00
143 401.97 5850.00
144 405.17 5882.00
145 408.36 5675.00
146 411.56 5903.00
147 414.76 5788.00
148 417.95 5919.00
149 421.15 5918.00
150 424.35 5906.00
151 427.54 5899.00
152 430.74 6118.00
153 433.94 5974.00
154 437.14 6194.00
155 440.33 6274.00
156 443.53 6215.00
157 446.73 6211.00
158 449.92 6046.00
159 453.12 6148.00
160 456.32 6217.00
161 459.51 5991.00
162 462.71 5764.00
163 465.91 5515.00
164 469.10 5057.00
165 472.30 4702.00
166 475.50 4255.00
167 478.70 3687.00
168 481.89 3032.00
169 485.09 2494.00
170 488.29 1856.00
171 491.48 1452.00
172 494.68 1050.00
173 497.88 741.00
174 501.07 536.00
175 504.27 297.00
176 507.47 200.00
177 510.66 90.00
178 513.86 59.00
179 517.06 34.00
180 520.25 13.00
181 523.45 8.00
182 526.65 3.00
183 529.85 1.00
184 533.04 0.00
185 536.24 0.00
186 539.44 0.00
187 542.63 0.00
188 545.83 0.00
189 549.03 0.00
190 552.22 0.00
191 555.42 0.00
192 558.62 0.00
193 561.81 0.00
194 565.01 0.00
195 568.21 0.00
196 571.41 0.00
197 574.60 0.00
198 577.80 0.00
199 581.00 0.00
200 584.19 0.00
201 587.39 0.00
202 590.59 0.00
203 593.78 1.00
204 596.98 5.00
205 600.18 9.00
206 603.37 13.00
207 606.57 21.00
208 609.77 50.00
209 612.96 92.00
210 616.16 172.00
211 619.36 309.00
212 622.56 461.00
213 625.75 648.00
214 628.95 958.00
215 632.15 1430.00
216 635.34 1933.00
217 638.54 2527.00
218 641.74 3352.00
219 644.93 4091.00
220 648.13 4925.00
221 651.33 5803.00
222 654.52 6546.00
223 657.72 7098.00
224 660.92 7333.00
225 664.12 7475.00
226 667.31 7404.00
227 670.51 7213.00
228 673.71 6407.00
229 676.90 5636.00
230 680.10 4653.00
231 683.30 3890.00
232 686.49 3072.00
233 689.69 2395.00
234 692.89 1744.00
235 696.08 1288.00
236 699.28 861.00
237 702.48 609.00
238 705.67 396.00
239 708.87 246.00
240 712.07 129.00
241 715.27 88.00
242 718.46 54.00
243 721.66 21.00
244 724.86 6.00
245 728.05 3.00
246 731.25 5.00
247 734.45 2.00
248 737.64 1.00
249 740.84 0.00
250 744.04 0.00
251 747.23 0.00
252 750.43 0.00
253 753.63 0.00
254 756.83 0.00
255 760.02 0.00
256 763.22 0.00
257 766.42 0.00
258 769.61 0.00
259 772.81 0.00
260 776.01 0.00
261 779.20 0.00
262 782.40 0.00
263 785.60 0.00
264 788.79 0.00
265 791.99 0.00
266 795.19 0.00
267 798.39 0.00
268 801.58 0.00
269 804.78 0.00
270 807.98 0.00
271 811.17 0.00
272 814.37 0.00
