Channels Energies Detected_Value
0 0.00 0.00
1 0.00 0.00
2 0.00 0.00
3 0.00 0.00
4 0.00 0.00
5 0.00 0.00
6 0.00 0.00
7 0.00 0.00
8 0.00 0.00
9 0.00 0.00
10 0.00 0.00
11 0.00 0.00
12 0.00 0.00
13 0.00 0.00
14 0.00 0.00
15 0.00 0.00
16 0.00 0.00
17 0.00 0.00
18 2.36 1347.00
19 5.55 2188.00
20 8.75 2747.00
21 11.95 2592.00
22 15.14 3170.00
23 18.34 2986.00
24 21.54 2665.00
25 24.74 2519.00
26 27.93 2571.00
27 31.13 3001.00
28 34.33 2955.00
29 37.52 2669.00
30 40.72 2665.00
31 43.92 2679.00
32 47.11 2887.00
33 50.31 2871.00
34 53.51 2635.00
35 56.70 2492.00
36 59.90 2596.00
37 63.10 2672.00
38 66.29 2772.00
39 69.49 2683.00
40 72.69 2502.00
41 75.89 2636.00
42 79.08 2775.00
43 82.28 2836.00
44 85.48 2559.00
45 88.67 2488.00
46 91.87 2645.00
47 95.07 2652.00
48 98.26 2680.00
49 101.46 2683.00
50 104.66 2619.00
51 107.85 2489.00
52 111.05 2659.00
53 114.25 2578.00
54 117.45 2696.00
55 120.64 2546.00
56 123.84 2502.00
57 127.04 2603.00
58 130.23 2566.00
59 133.43 2533.00
60 136.63 2587.00
61 139.82 2593.00
62 143.02 2577.00
63 146.22 2530.00
64 149.41 2638.00
65 152.61 2548.00
66 155.81 2507.00
67 159.01 2566.00
68 162.20 2565.00
69 165.40 2492.00
70 168.60 2593.00
71 171.79 2446.00
72 174.99 2601.00
73 178.19 2465.00
74 181.38 2510.00
75 184.58 2551.00
76 187.78 2629.00
77 190.97 2544.00
78 194.17 2709.00
79 197.37 2542.00
80 200.56 2569.00
81 203.76 2606.00
82 206.96 2553.00
83 210.16 2539.00
84 213.35 2632.00
85 216.55 2650.00
86 219.75 2663.00
87 222.94 2593.00
88 226.14 2512.00
89 229.34 2669.00
90 232.53 2568.00
91 235.73 2527.00
92 238.93 2580.00
93 242.12 2673.00
94 245.32 2683.00
95 248.52 2583.00
96 251.72 2526.00
97 254.91 2580.00
98 258.11 2671.00
99 261.31 2684.00
100 264.50 2650.00
101 267.70 2611.00
102 270.90 2676.00
103 274.09 2674.00
104 277.29 2632.00
105 280.49 2755.00
106 283.68 2646.00
107 286.88 2798.00
108 290.08 2647.00
109 293.27 2763.00
110 296.47 2736.00
111 299.67 2720.00
112 302.87 2793.00
113 306.06 2768.00
114 309.26 2793.00
115 312.46 2757.00
116 315.65 2696.00
117 318.85 2756.00
118 322.05 2783.00
119 325.24 2830.00
120 328.44 2846.00
121 331.64 2780.00
122 334.83 2868.00
123 338.03 2869.00
124 341.23 2836.00
125 344.43 2932.00
126 347.62 2893.00
127 350.82 2933.00
128 354.02 2976.00
129 357.21 2853.00
130 360.41 2849.00
131 363.61 2939.00
132 366.80 2982.00
133 370.00 2945.00
134 373.20 3078.00
135 376.39 2998.00
136 379.59 2849.00
137 382.79 3007.00
138 385.98 3062.00
139 389.18 3059.00
140 392.38 3050.00
141 395.58 3069.00
142 398.77 3162.00
143 401.97 3140.00
144 405.17 3160.00
145 408.36 3220.00
146 411.56 3213.00
147 414.76 3175.00
148 417.95 3307.00
149 421.15 3321.00
150 424.35 3227.00
151 427.54 3172.00
152 430.74 3191.00
153 433.94 3347.00
154 437.14 3344.00
155 440.33 3365.00
156 443.53 3302.00
157 446.73 3345.00
158 449.92 3341.00
159 453.12 3449.00
160 456.32 3335.00
161 459.51 3256.00
162 462.71 3184.00
163 465.91 2984.00
164 469.10 2870.00
165 472.30 2569.00
166 475.50 2223.00
167 478.70 1915.00
168 481.89 1671.00
169 485.09 1346.00
170 488.29 1026.00
171 491.48 748.00
172 494.68 547.00
173 497.88 409.00
174 501.07 261.00
175 504.27 166.00
176 507.47 98.00
177 510.66 48.00
178 513.86 30.00
179 517.06 8.00
180 520.25 11.00
181 523.45 5.00
182 526.65 2.00
183 529.85 0.00
184 533.04 0.00
185 536.24 0.00
186 539.44 0.00
187 542.63 0.00
188 545.83 0.00
189 549.03 0.00
190 552.22 0.00
191 555.42 0.00
192 558.62 0.00
193 561.81 0.00
194 565.01 0.00
195 568.21 0.00
196 571.41 0.00
197 574.60 0.00
198 577.80 0.00
199 581.00 0.00
200 584.19 0.00
201 587.39 1.00
202 590.59 2.00
203 593.78 1.00
204 596.98 3.00
205 600.18 6.00
206 603.37 16.00
207 606.57 26.00
208 609.77 58.00
209 612.96 98.00
210 616.16 188.00
211 619.36 268.00
212 622.56 436.00
213 625.75 757.00
214 628.95 991.00
215 632.15 1493.00
216 635.34 2126.00
217 638.54 2739.00
218 641.74 3617.00
219 644.93 4295.00
220 648.13 5236.00
221 651.33 6120.00
222 654.52 6936.00
223 657.72 7666.00
224 660.92 7760.00
225 664.12 7998.00
226 667.31 7798.00
227 670.51 7297.00
228 673.71 6701.00
229 676.90 5746.00
230 680.10 5020.00
231 683.30 4108.00
232 686.49 3165.00
233 689.69 2465.00
234 692.89 1824.00
235 696.08 1387.00
236 699.28 892.00
237 702.48 620.00
238 705.67 434.00
239 708.87 267.00
240 712.07 160.00
241 715.27 83.00
242 718.46 46.00
243 721.66 14.00
244 724.86 9.00
245 728.05 6.00
246 731.25 2.00
247 734.45 3.00
248 737.64 1.00
249 740.84 0.00
250 744.04 0.00
251 747.23 1.00
252 750.43 0.00
253 753.63 0.00
254 756.83 0.00
255 760.02 0.00
256 763.22 0.00
257 766.42 0.00
258 769.61 0.00
259 772.81 0.00
260 776.01 0.00
261 779.20 0.00
262 782.40 0.00
263 785.60 0.00
264 788.79 0.00
265 791.99 0.00
266 795.19 0.00
267 798.39 0.00
268 801.58 0.00
269 804.78 0.00
270 807.98 0.00
271 811.17 0.00
272 814.37 0.00
