Channels Energies Detected_Value
0 0.00 0.00
1 0.00 0.00
2 0.00 0.00
3 0.00 0.00
4 0.00 0.00
5 0.00 0.00
6 0.00 0.00
7 0.00 0.00
8 0.00 0.00
9 0.00 0.00
10 0.00 0.00
11 0.00 0.00
12 0.00 0.00
13 0.00 0.00
14 0.00 0.00
15 0.00 0.00
16 0.00 0.00
17 0.00 0.00
18 2.36 3254.00
19 5.55 4836.00
20 8.75 4892.00
21 11.95 4886.00
22 15.14 6453.00
23 18.34 4903.00
24 21.54 4794.00
25 24.74 4782.00
26 27.93 4782.00
27 31.13 6337.00
28 34.33 4659.00
29 37.52 4724.00
30 40.72 4740.00
31 43.92 4782.00
32 47.11 6344.00
33 50.31 4689.00
34 53.51 4666.00
35 56.70 4601.00
36 59.90 4593.00
37 63.10 6039.00
38 66.29 4572.00
39 69.49 4636.00
40 72.69 4517.00
41 75.89 4542.00
42 79.08 5983.00
43 82.28 4562.00
44 85.48 4536.00
45 88.67 4559.00
46 91.87 4499.00
47 95.07 6030.00
48 98.26 4524.00
49 101.46 4452.00
50 104.66 4534.00
51 107.85 4556.00
52 111.05 5947.00
53 114.25 4419.00
54 117.45 4355.00
55 120.64 4576.00
56 123.84 4446.00
57 127.04 5929.00
58 130.23 4416.00
59 133.43 4511.00
60 136.63 4509.00
61 139.82 4481.00
62 143.02 5913.00
63 146.22 4516.00
64 149.41 4480.00
65 152.61 4418.00
66 155.81 4450.00
67 159.01 5982.00
68 162.20 4288.00
69 165.40 4380.00
70 168.60 4367.00
71 171.79 4385.00
72 174.99 4456.00
73 178.19 5904.00
74 181.38 4465.00
75 184.58 4483.00
76 187.78 4468.00
77 190.97 4424.00
78 194.17 5727.00
79 197.37 4464.00
80 200.56 4443.00
81 203.76 4414.00
82 206.96 4481.00
83 210.16 5931.00
84 213.35 4433.00
85 216.55 4379.00
86 219.75 4445.00
87 222.94 4329.00
88 226.14 5870.00
89 229.34 4427.00
90 232.53 4473.00
91 235.73 4487.00
92 238.93 4359.00
93 242.12 6014.00
94 245.32 4589.00
95 248.52 4595.00
96 251.72 4476.00
97 254.91 4463.00
98 258.11 6024.00
99 261.31 4610.00
100 264.50 4621.00
101 267.70 4480.00
102 270.90 4667.00
103 274.09 6181.00
104 277.29 4668.00
105 280.49 4746.00
106 283.68 4684.00
107 286.88 4593.00
108 290.08 6401.00
109 293.27 4640.00
110 296.47 4605.00
111 299.67 4699.00
112 302.87 4659.00
113 306.06 6359.00
114 309.26 4773.00
115 312.46 4643.00
116 315.65 4808.00
117 318.85 4736.00
118 322.05 6530.00
119 325.24 4859.00
120 328.44 4912.00
121 331.64 4799.00
122 334.83 4959.00
123 338.03 6560.00
124 341.23 4830.00
125 344.43 4890.00
126 347.62 4911.00
127 350.82 5039.00
128 354.02 6671.00
129 357.21 5065.00
130 360.41 5060.00
131 363.61 5080.00
132 366.80 5128.00
133 370.00 6843.00
134 373.20 5211.00
135 376.39 5195.00
136 379.59 5178.00
137 382.79 5255.00
138 385.98 5251.00
139 389.18 7183.00
140 392.38 5358.00
141 395.58 5183.00
142 398.77 5334.00
143 401.97 5482.00
144 405.17 7251.00
145 408.36 5385.00
146 411.56 5525.00
147 414.76 5651.00
148 417.95 5693.00
149 421.15 7602.00
150 424.35 5653.00
151 427.54 5861.00
152 430.74 5595.00
153 433.94 5651.00
154 437.14 7702.00
155 440.33 5713.00
156 443.53 5820.00
157 446.73 5993.00
158 449.92 5913.00
159 453.12 7955.00
160 456.32 5926.00
161 459.51 6033.00
162 462.71 6153.00
163 465.91 6019.00
164 469.10 8192.00
165 472.30 6247.00
166 475.50 6337.00
167 478.70 4166.00
168 481.89 0.00
169 485.09 0.00
170 488.29 0.00
171 491.48 0.00
172 494.68 0.00
173 497.88 0.00
174 501.07 0.00
175 504.27 0.00
176 507.47 0.00
177 510.66 0.00
178 513.86 0.00
179 517.06 0.00
180 520.25 0.00
181 523.45 0.00
182 526.65 0.00
183 529.85 0.00
184 533.04 0.00
185 536.24 0.00
186 539.44 0.00
187 542.63 0.00
188 545.83 0.00
189 549.03 0.00
190 552.22 0.00
191 555.42 0.00
192 558.62 0.00
193 561.81 0.00
194 565.01 0.00
195 568.21 0.00
196 571.41 0.00
197 574.60 0.00
198 577.80 0.00
199 581.00 0.00
200 584.19 0.00
201 587.39 0.00
202 590.59 0.00
203 593.78 0.00
204 596.98 0.00
205 600.18 0.00
206 603.37 0.00
207 606.57 0.00
208 609.77 0.00
209 612.96 0.00
210 616.16 0.00
211 619.36 0.00
212 622.56 0.00
213 625.75 0.00
214 628.95 0.00
215 632.15 0.00
216 635.34 0.00
217 638.54 0.00
218 641.74 0.00
219 644.93 0.00
220 648.13 0.00
221 651.33 0.00
222 654.52 0.00
223 657.72 0.00
224 660.92 0.00
225 664.12 101215.00
226 667.31 0.00
227 670.51 0.00
228 673.71 0.00
229 676.90 0.00
230 680.10 0.00
231 683.30 0.00
232 686.49 0.00
233 689.69 0.00
234 692.89 0.00
235 696.08 0.00
236 699.28 0.00
237 702.48 0.00
238 705.67 0.00
239 708.87 0.00
240 712.07 0.00
241 715.27 0.00
242 718.46 0.00
243 721.66 0.00
244 724.86 0.00
245 728.05 0.00
246 731.25 0.00
247 734.45 0.00
248 737.64 0.00
249 740.84 0.00
250 744.04 0.00
251 747.23 0.00
252 750.43 0.00
253 753.63 0.00
254 756.83 0.00
255 760.02 0.00
256 763.22 0.00
257 766.42 0.00
258 769.61 0.00
259 772.81 0.00
260 776.01 0.00
261 779.20 0.00
262 782.40 0.00
263 785.60 0.00
264 788.79 0.00
265 791.99 0.00
266 795.19 0.00
267 798.39 0.00
268 801.58 0.00
269 804.78 0.00
270 807.98 0.00
271 811.17 0.00
272 814.37 0.00
273 817.57 0.00
274 820.76 0.00
275 823.96 0.00
