Channels Energies Detected_Value
0 0.00 0.00
1 1.00 1652.00
2 2.00 1682.00
3 3.00 1640.00
4 4.00 1669.00
5 5.00 1674.00
6 6.00 1666.00
7 7.00 1627.00
8 8.00 1553.00
9 9.00 1611.00
10 10.00 1626.00
11 11.00 1630.00
12 12.00 1632.00
13 13.00 1607.00
14 14.00 1555.00
15 15.00 1617.00
16 16.00 1572.00
17 17.00 1639.00
18 18.00 1594.00
19 19.00 1616.00
20 20.00 1645.00
21 21.00 1549.00
22 22.00 1601.00
23 23.00 1609.00
24 24.00 1515.00
25 25.00 1610.00
26 26.00 1612.00
27 27.00 1540.00
28 28.00 1617.00
29 29.00 1550.00
30 30.00 1592.00
31 31.00 1513.00
32 32.00 1588.00
33 33.00 1537.00
34 34.00 1546.00
35 35.00 1610.00
36 36.00 1598.00
37 37.00 1603.00
38 38.00 1607.00
39 39.00 1645.00
40 40.00 1543.00
41 41.00 1523.00
42 42.00 1612.00
43 43.00 1515.00
44 44.00 1667.00
45 45.00 1692.00
46 46.00 1559.00
47 47.00 1627.00
48 48.00 1555.00
49 49.00 1530.00
50 50.00 1556.00
51 51.00 1519.00
52 52.00 1532.00
53 53.00 1562.00
54 54.00 1521.00
55 55.00 1506.00
56 56.00 1548.00
57 57.00 1523.00
58 58.00 1510.00
59 59.00 1624.00
60 60.00 1616.00
61 61.00 1592.00
62 62.00 1536.00
63 63.00 1545.00
64 64.00 1535.00
65 65.00 1538.00
66 66.00 1522.00
67 67.00 1543.00
68 68.00 1537.00
69 69.00 1586.00
70 70.00 1567.00
71 71.00 1515.00
72 72.00 1450.00
73 73.00 1542.00
74 74.00 1500.00
75 75.00 1515.00
76 76.00 1496.00
77 77.00 1530.00
78 78.00 1538.00
79 79.00 1463.00
80 80.00 1546.00
81 81.00 1531.00
82 82.00 1511.00
83 83.00 1529.00
84 84.00 1526.00
85 85.00 1521.00
86 86.00 1427.00
87 87.00 1537.00
88 88.00 1502.00
89 89.00 1547.00
90 90.00 1468.00
91 91.00 1527.00
92 92.00 1491.00
93 93.00 1528.00
94 94.00 1524.00
95 95.00 1477.00
96 96.00 1484.00
97 97.00 1455.00
98 98.00 1465.00
99 99.00 1511.00
100 100.00 1501.00
101 101.00 1512.00
102 102.00 1472.00
103 103.00 1501.00
104 104.00 1482.00
105 105.00 1552.00
106 106.00 1481.00
107 107.00 1453.00
108 108.00 1462.00
109 109.00 1469.00
110 110.00 1437.00
111 111.00 1602.00
112 112.00 1445.00
